reference,name,link,n_value_strings,chars_raw,chars_clean,has_percent_markup,has_dollar_markup,has_amp_markup
50951,BERTRANDUS Cassinelli,/individus/50951-bertranduscassinelli,23,794,756,1,1,0
17410,BALDUINUS de Los,/individus/17410-balduinusdelos,18,530,510,1,1,0
1473,BERTRANDUS de Camera,/individus/1473-bertrandusdecamera,13,480,466,1,1,0
15769,BERTRANDUS Grecimer,/individus/15769-bertrandusgrecimer,12,362,354,1,1,0
19151,BERNARDUS 12,/individus/19151-bernardus12,14,575,557,1,1,1
17238,BARTHOLOMAEUS de Parme,/individus/17238-bartholomaeusdeparme,118,3743,3669,1,1,1
55341,BARTHOLOMAEUS de Roberticuria,/individus/55341-bartholomaeusderoberticuria,13,342,332,1,1,0
17201,BERCESLAUS Pybeyn,/individus/17201-berceslauspybeyn,10,432,426,1,1,1
1256,BELLUS Homo,/individus/1256-bellushomo,14,320,314,1,1,0
1426,BERNARDUS de Sarra,/individus/1426-bernardusdesarra,13,514,501,1,1,1
25116,BERTALDUS Custurarii,/individus/25116-bertalduscusturarii,16,567,549,1,1,1
58511,BERTRANDUS de …,/individus/58511-bertrandusde…,12,307,297,1,1,0
1415,BERNARDUS de Gouda,/individus/1415-bernardusdegouda,14,368,356,1,1,0
1499,BERTRANDUS de Monavalle,/individus/1499-bertrandusdemonavalle,16,466,446,1,1,0
1342,BERNARDUS de Ramoto,/individus/1342-bernardusderamoto,15,427,413,1,1,0
1457,BERTALDUS Bertillet,/individus/1457-bertaldusbertillet,10,250,246,1,1,0
54937,BARTHOLOMAEUS Brunelli,/individus/54937-bartholomaeusbrunelli,17,485,467,1,1,0
15746,BARTHOLOMAEUS Odille,/individus/15746-bartholomaeusodille,13,301,293,1,1,0
52333,BERTRANDUS de Chavencio=Castro,/individus/52333-bertrandusdechavencio=castro,12,325,317,1,1,0
1159,BALDUINUS Magistri,/individus/1159-balduinusmagistri,13,577,562,1,1,1
16582,BARTHOLOMAEUS Baudeti,/individus/16582-bartholomaeusbaudeti,14,374,362,1,1,0
1386,BERNARDUS Putefin,/individus/1386-bernardusputefin,20,1233,1211,1,1,1
50914,BERO de Tillinge,/individus/50914-berodetillinge,18,601,574,1,1,0
25895,BERNARDUS Textoris,/individus/25895-bernardustextoris,18,691,671,1,1,1
1324,BERNARDUS Sabatier I,/individus/1324-bernardussabatieri,15,494,484,1,1,0
1356,BERNARDUS Blondelli,/individus/1356-bernardusblondelli,10,223,217,1,1,0
16678,BERTRANDUS de Treanna,/individus/16678-bertrandusdetreanna,14,376,364,1,1,0
16609,BERNARDUS Blanchon,/individus/16609-bernardusblanchon,15,423,409,1,1,0
1274,BENEDICTUS de Chamery,/individus/1274-benedictusdechamery,22,784,752,1,1,1
1287,BERENGARIUS de Casa,/individus/1287-berengariusdecasa,11,490,476,1,1,1
13174,BALDUINUS Regis,/individus/13174-balduinusregis,21,1060,1030,1,1,1
16584,BARTHOLOMAEUS Turrel,/individus/16584-bartholomaeusturrel,10,288,282,1,1,0
60717,BARTHOLOMAEUS de Sancto Auberto,/individus/60717-bartholomaeusdesanctoauberto,13,351,343,1,1,0
1141,BALDUINUS de Ast,/individus/1141-balduinusdeast,14,692,676,1,1,1
54881,BARTHOLOMAEUS de Rosiaco 1,/individus/54881-bartholomaeusderosiaco1,34,1066,1026,1,1,0
19335,BERNARDUS Poully,/individus/19335-bernarduspoully,11,252,240,1,1,0
60024,BARNERUS,/individus/60024-barnerus,20,782,756,1,1,1
17237,BALDUINUS de Steenberghen,/individus/17237-balduinusdesteenberghen,13,641,625,1,1,0
1333,BERNARDUS de Juzico,/individus/1333-bernardusdejuzico,49,1843,1787,1,1,1
17360,BERTALDUS Bauson de Mulhausen,/individus/17360-bertaldusbausondemulhausen,16,567,549,1,1,0
19241,BERNARDUS Fabri 1,/individus/19241-bernardusfabri1,13,507,489,1,1,1
1481,BERTRANDUS Bernardi,/individus/1481-bertrandusbernardi,11,279,271,1,1,0
16585,BENEDICTUS Briliat,/individus/16585-benedictusbriliat,14,357,342,1,1,0
1341,BERNARDUS de Pleignes,/individus/1341-bernardusdepleignes,14,482,468,1,1,1
1424,BERNARDUS de Pymo,/individus/1424-bernardusdepymo,11,401,392,1,1,1
12363,BRECHTORUS Wilhelmi de Miert,/individus/12363-brechtoruswilhelmidemiert,17,473,451,1,1,0
51904,BERNARDUS de Monte,/individus/51904-bernardusdemonte,16,622,610,1,1,1
15776,BLASIUS Gresle,/individus/15776-blasiusgresle,33,1893,1835,1,1,1
59960,BERNARDUS Kale,/individus/59960-bernarduskale,16,427,409,1,1,1
1244,BALDUINUS Bouiins,/individus/1244-balduinusbouiins,11,211,201,1,1,0
18464,BERNARDUS Gludit,/individus/18464-bernardusgludit,10,429,422,1,1,1
1565,BRUNO Hagen,/individus/1565-brunohagen,14,343,333,1,1,0
