reference,name,link,path,type,start_year,end_year,start_len,end_len,start_out_of_bounds,end_out_of_bounds,interval_inverted
4904,HENRICUS de Gandavo,/individus/4904-henricusdegandavo,textualProduction.religion.opus[].editionBefore1700[].meta,INTERVAL,1642.0,1646.0,4.0,4.0,1,1,0
18144,HUGO Prepositi 1,/individus/18144-hugoprepositi1,identity.datesOfActivity[].meta,INTERVAL,1426.0,146.0,4.0,3.0,0,1,1
58391,HUGO Primas,/individus/58391-hugoprimas,identity.datesOfLife[].meta,INTERVAL,1093.0,1160.0,4.0,4.0,1,0,0
58272,HERMANNUS 1,/individus/58272-hermannus1,identity.datesOfActivity[].meta,INTERVAL,1071.0,1071.0,4.0,4.0,1,1,0
58270,HERBERTUS 1,/individus/58270-herbertus1,identity.datesOfActivity[].meta,INTERVAL,1070.0,1070.0,4.0,4.0,1,1,0
5161,HUGO Rogerii 1,/individus/5161-hugorogerii1,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,11362.0,1363.0,5.0,4.0,1,0,1
23848,HENRICUS Roussel,/individus/23848-henricusroussel,professionalCareer.lawFunction[].meta,INTERVAL,1425.0,14444.0,4.0,5.0,0,1,0
23848,HENRICUS Roussel,/individus/23848-henricusroussel,professionalCareer.lawFunction[].meta,INTERVAL,1427.0,14440.0,4.0,5.0,0,1,0
16981,HILDUINUS,/individus/16981-hilduinus,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1180.0,119.0,4.0,3.0,0,1,1
60824,HENRICUS Goethals,/individus/60824-henricusgoethals,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,142.0,1433.0,3.0,4.0,1,0,0
16944,HIERONYMUS Pardo,/individus/16944-hieronymuspardo,textualProduction.discussedReligion.opus[].editionBefore1700[].meta,INTERVAL,1638.0,1657.0,4.0,4.0,1,1,0
57592,HIERONYMUS Masci (NICOLAS IV),/individus/57592-hieronymusmasci(nicolasiv),bibliography.otherBases[].meta,INTERVAL,28.0,,2.0,,1,0,0
58118,LANDULPHUS Junior,/individus/58118-landulphusjunior,identity.datesOfLife[].meta,INTERVAL,1077.0,,4.0,,1,0,0
58118,LANDULPHUS Junior,/individus/58118-landulphusjunior,identity.datesOfActivity[].meta,INTERVAL,1097.0,1137.0,4.0,4.0,1,0,0
57989,LAMBERTUS 1,/individus/57989-lambertus1,identity.datesOfActivity[].meta,INTERVAL,1028.0,1028.0,4.0,4.0,1,1,0
58667,MANEGOLDUS de Lautenbach,/individus/58667-manegoldusdelautenbach,identity.datesOfActivity[].meta,INTERVAL,1070.0,1103.0,4.0,4.0,1,0,0
58667,MANEGOLDUS de Lautenbach,/individus/58667-manegoldusdelautenbach,textualProduction.political.opus[].dateAndPlace[].meta,INTERVAL,1084.0,1085.0,4.0,4.0,1,1,0
58668,MANEGOLDUS Magister,/individus/58668-manegoldusmagister,identity.datesOfActivity[].meta,INTERVAL,1070.0,1100.0,4.0,4.0,1,0,0
55074,MATHURINUS Huelly,/individus/55074-mathurinushuelly,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1475.0,14520.0,4.0,5.0,0,1,0
58445,MICHAEL Angrianus,/individus/58445-michaelangrianus,textualProduction.religion.opus[].editionBefore1700[].meta,INTERVAL,1600.0,1601.0,4.0,4.0,0,1,0
51944,NICOLAUS de Lyra,/individus/51944-nicolausdelyra,textualProduction.religion.opus[].editionBefore1700[].meta,INTERVAL,1617.0,1634.0,4.0,4.0,1,1,0
21498,NICOLAUS Oresme,/individus/21498-nicolausoresme,textualProduction.political.opus[].editionBefore1700[].meta,INTERVAL,1618.0,1622.0,4.0,4.0,1,1,0
51925,NICOLAUS Beyart,/individus/51925-nicolausbeyart,identity.datesOfActivity[].meta,INTERVAL,1321.0,3121.0,4.0,4.0,0,1,0
9122,NICOLAUS Trevet,/individus/9122-nicolaustrevet,textualProduction.history.opus[].editionBefore1700[].meta,INTERVAL,1665.0,1677.0,4.0,4.0,1,1,0
58418,NICOLAUS de Gorran,/individus/58418-nicolausdegorran,curriculum.universityCollege[].meta,INTERVAL,12870.0,1295.0,5.0,4.0,1,0,1
